sample_id,matrix_path
PD4199a,input/mutational_matrices/in_data_a.csv
PD4005a,input/mutational_matrices/in_data_a.csv
PD3851a,input/mutational_matrices/in_data_a.csv
PD4116a,input/mutational_matrices/in_data_a.csv
PD4086a,input/mutational_matrices/in_data_a.csv
PD4194a,input/mutational_matrices/in_data_a.csv
PD4248a,input/mutational_matrices/in_data_a.csv
PD4120a,input/mutational_matrices/in_data_b.csv
PD4198a,input/mutational_matrices/in_data_b.csv
PD3904a,input/mutational_matrices/in_data_b.csv
PD3945a,input/mutational_matrices/in_data_b.csv
PD4107a,input/mutational_matrices/in_data_b.csv
PD3905a,input/mutational_matrices/in_data_b.csv
PD4192a,input/mutational_matrices/in_data_b.csv
PD4109a,input/mutational_matrices/in_data_c.csv
PD4103a,input/mutational_matrices/in_data_c.csv
PD4115a,input/mutational_matrices/in_data_c.csv
PD4085a,input/mutational_matrices/in_data_c.csv
PD3890a,input/mutational_matrices/in_data_c.csv
PD4006a,input/mutational_matrices/in_data_c.csv
PD4088a,input/mutational_matrices/in_data_c.csv
